,Author,Specimen,FailureMode,M/Vlw,lw/tw,"ρvwFy,vw/fc","ρhwFy,vw/fc","ρvcFy,vc/fc","ρhcFy,hc/fc",P/fcAg,Section,Ab/Ag
418,Kuang and Ho (2008),U1.0-BC,1,1.000,12.000,0.000,0.174,0.153,0.349,0.000,R,0.000
419,Kuang and Ho (2008),U1.5-BC,1,1.500,12.000,0.000,0.162,0.142,0.323,0.000,R,0.000
420,Kuang and Ho (2008),U1.0-BC2,1,1.000,12.000,0.000,0.160,0.140,0.320,0.000,R,0.000
421,Kuang and Ho (2008),U1.0-CT,1,1.000,12.000,0.000,0.145,0.127,0.000,0.000,R,0.000
422,Gupta and Rangan (1998),S-F,1,1.100,13.333,0.071,0.050,0.060,0.024,0.000,F,0.278
423,Gupta and Rangan (1998),S-1,3,1.100,13.333,0.054,0.038,0.087,0.019,0.057,F,0.278
424,Gupta and Rangan (1998),S-2,3,1.100,13.333,0.066,0.046,0.145,0.023,0.140,F,0.278
425,Gupta and Rangan (1998),S-3,3,1.100,13.333,0.063,0.044,0.170,0.021,0.000,F,0.278
426,Gupta and Rangan (1998),S-4,3,1.100,13.333,0.095,0.040,0.131,0.020,0.060,F,0.278
427,Gupta and Rangan (1998),S-5,3,1.100,13.333,0.098,0.041,0.165,0.020,0.125,F,0.278
428,Gupta and Rangan (1998),S-6,3,1.100,13.333,0.101,0.043,0.189,0.021,0.064,F,0.278
429,Gupta and Rangan (1998),S-7,3,1.100,13.333,0.061,0.042,0.132,0.021,0.032,F,0.278
430,Yuan et al. (2018),SW-1,1,2.000,6.400,0.040,0.039,0.038,0.095,0.130,R,0.000
431,Yuan et al. (2018),SW-2,1,2.000,6.400,0.073,0.084,0.038,0.095,0.130,R,0.000
432,Yanez et al. (1991),S1,1,1.250,16.667,0.070,0.056,0.070,0.056,0.000,R,0.000
434,Terzioglu et al. (2018),T2-S2-3,2,0.647,12.500,0.116,0.127,0.878,0.127,0.000,R,0.000
435,Terzioglu et al. (2018),T1-S2-9,2,0.633,12.500,0.067,0.083,1.015,0.083,0.000,R,0.000
436,Terzioglu et al. (2018),T1-N10-S1-11,2,0.633,12.500,0.060,0.074,0.902,0.074,0.099,R,0.000
437,Terzioglu et al. (2018),T1-S1-2,2,0.633,12.500,0.063,0.069,0.956,0.069,0.000,R,0.000
438,Abdulridha and Palermo (2017),W1-SR,1,2.400,6.667,0.123,0.123,0.185,0.293,0.000,R,0.000
439,Christidis and Trezos (2017),W7,1,2.000,6.000,0.270,0.126,0.458,1.264,0.000,R,0.000
440,Christidis and Trezos (2017),W9,2,2.000,6.000,0.225,0.038,0.225,0.000,0.000,R,0.000
441,Christidis and Trezos (2017),W11,2,2.000,6.000,0.225,0.021,0.225,0.000,0.000,R,0.000
442,Christidis and Trezos (2017),W13,2,2.000,6.000,0.276,0.026,0.276,0.000,0.000,R,0.000
443,Ren et al. (2018),RC-W,1,2.054,5.139,0.018,0.042,0.290,0.063,0.180,R,0.000
444,Qiao et al. (2017),W1,1,0.850,6.250,0.051,0.051,0.100,0.049,0.024,R,0.000
445,Shen et al. (2017),SHW0,1,1.750,8.333,0.045,0.043,0.185,0.087,0.086,R,0.000
446,Mohamed et al. (2014),ST15,1,2.333,7.500,0.023,0.064,0.051,0.064,0.070,R,0.000
447,Ghazizadeh and Cruz-Noguez (2018),Control Wall,1,1.083,12.000,0.038,0.031,0.038,0.202,0.000,R,0.000
448,Aanasopoulou (2010),S1,1,1.200,10.059,0.065,0.065,0.038,0.461,0.000,R,0.000
449,Aanasopoulou (2010),S4,4,1.200,10.059,0.073,0.073,0.063,0.831,0.000,R,0.000
450,Aanasopoulou (2010),S6,1,1.500,10.059,0.066,0.066,0.066,0.868,0.000,R,0.000
451,Aanasopoulou (2010),S9,1,1.500,10.059,0.063,0.063,0.101,1.220,0.000,R,0.000
452,Aanasopoulou (2010),S10,1,1.500,10.059,0.053,0.053,0.098,1.164,0.000,R,0.000
453,Alltin et al. (2013),Specimen 1,3,1.650,10.000,0.384,0.031,2.646,0.031,0.000,R,0.000
454,Zhu and Guo (2017),MW,1,2.024,8.500,0.043,0.046,0.249,0.140,0.079,R,0.000
455,Mansur et al. (1992),W2,2,0.675,16.667,0.076,0.076,0.460,0.078,0.000,B,0.227
456,Mansur et al. (1992),W3,2,0.675,16.667,0.076,0.076,0.461,0.078,0.000,B,0.227
457,Mansur et al. (1992),W4,2,0.675,16.667,0.007,0.007,0.386,0.055,0.000,B,0.227
458,Lu et al. (2017),C1,1,2.000,9.333,0.050,0.019,0.041,0.019,0.036,R,0.000
459,Lu et al. (2018),C2,1,2.000,9.333,0.055,0.022,0.046,0.022,0.040,R,0.000
460,Lu et al. (2019),C3,1,2.000,9.333,0.053,0.021,0.044,0.021,0.038,R,0.000
461,Lu et al. (2020),C4,1,2.000,9.333,0.055,0.022,0.046,0.022,0.000,R,0.000
462,Lu et al. (2021),C5,1,2.000,9.333,0.054,0.021,0.045,0.021,0.075,R,0.000
463,Lu et al. (2022),C6,1,2.000,9.333,0.052,0.020,0.043,0.020,0.037,R,0.000
464,Tripathi et al. (2019),SWD-1,1,1.000,13.333,0.056,0.025,0.195,0.073,0.055,R,0.000
465,Tripathi et al. (2020),SWD-2,1,1.000,13.333,0.053,0.024,0.186,0.053,0.055,R,0.000
