Reference,Specimen,Failure,a/D,ALF,ρlfy/fc,ρvfyv/ft,,,
,Unit 4,1,5.333333333,0.039350072,0.329403069,1.004466608,,,
Coffman et al. 1993,Column 1,1,6.263888889,0.194589111,0.269176136,0.288440482,,,
"Hamilton, 2002",UCI1,1,4.5625,0,0.147206764,0.93739063,,,
,UCI2,1,4.5625,0,0.147206764,0.93739063,,,
,UCI6,1,4.5625,0,0.150928283,0.949165712,,,
"Kwon, 2005 (1)",SPN-LN-23-12,1,4,0.113876421,0.196388884,0.934658846,,,
,SPH-LN-23-12,1,4,0.113876421,0.296753369,0.934658846,,,
,SPN-LH-23-12,1,4,0.113876421,0.196388884,1.54638781,,,
,SPH-LH-23-12,1,4,0.113876421,0.296753369,1.54638781,,,
,SPN-LN-27-10,1,4,0.097548551,0.168230184,0.865060793,,,
,SPH-LN-27-10,1,4,0.097548551,0.254204173,0.865060793,,,
,SPN-LH-27-10,1,4,0.097548551,0.168230184,1.431238223,,,
,SPH-LH-27-10,1,4,0.097548551,0.254204173,1.431238223,,,
,SPH-LH-27-20,1,4,0.195097103,0.254204173,1.431238223,,,
,SPH-LN-23-12-14,1,4,0.113876421,0.343680547,0.934658846,,,
"Kwon, 2012 (2)",As-built 1,1,5.083333333,0.057191586,0.207459739,0.149912822,,,
,Scale 1,1,4.75,0.057191586,0.207459739,0.149912822,,,
"Kim et al., 2001 (3)",CS-P1,1,2.125,0.0659843,0.180548507,0.141805471,,,
,CS-P2,1,2.6,0.0659843,0.180548507,0.141805471,,,
,CS-M1,1,2.133333333,0.2639372,0.180548507,0.141805471,,,
,CS-M2,1,2.6,0.2639372,0.180548507,0.141805471,,,
"Cho et al., 2002 (4)",M-H-LS000,1,2.666666667,0.282940678,0.214580216,0.160035702,,,
Kim et al. (2001) (6),SC3,1,5,0.028963001,0.081933259,0.166477891,,,
"Kim et al., 2006 (7)",CC10-55-1,1,4,0.1,0.158971024,1.217189564,,,
,CC20-55-1,1,4,0.1,0.317942049,1.217189564,,,
,CC10-80-1,1,4,0.1,0.158971024,0.836817825,,,
,CC20-80-1,1,4,0.1,0.317942049,0.836817825,,,
,CC10-140-1,1,4,0.1,0.158971024,0.478181614,,,
,CC20-140-1,1,4,0.1,0.317942049,0.478181614,,,
,CC10-45-2,1,4,0.2,0.158971024,1.487676134,,,
,CC20-45-2,1,4,0.2,0.317942049,1.487676134,,,
,CC10-55-2,1,4,0.2,0.158971024,1.217189564,,,
,CC20-55-2,1,4,0.2,0.317942049,1.217189564,,,
,CC10-80-2,1,4,0.2,0.158971024,0.836817825,,,
,CC20-80-2,1,4,0.2,0.317942049,0.836817825,,,
,CC10-140-2,1,4,0.2,0.158971024,0.478181614,,,
,CC20-140-2,1,4,0.2,0.317942049,0.478181614,,,
"Park et al., 2006 (9)",3.5N-SP00,1,3.5,0.088812388,0.188827222,0.247280626,,,
,3.5L-SP00,1,3.5,0.088812388,0.188827222,0.544017378,,,
"Park et al., 2004 (10)",MS-HT3-N-L2,1,4,0.065118049,0.140188296,0.262076434,,,
,MS-HT4-N-L2,1,4,0.065118049,0.140188296,0.262076434,,,
"Youm et al., 2005 (13)",TS,1,5.714285714,0.073279974,0.305999947,0.943464513,,,
,LS,1,5.714285714,0.073279974,0.152999974,0.471732257,,,
"Youm et al., 2006 (14)",E,1,7.333333333,0.049903006,0.444155431,0.636100584,,,
"Yoo, 2010 (15)",P1,1,3.5,0.089575018,0.202369095,0.556183128,,,
,P2,1,3.5,0.089575018,0.202369095,0.246507266,,,
,P3,1,3.5,0.089575018,0.202369095,0.298403532,,,
"Lee et al., 2010 (16)",C5,1,3.110714286,0.1,0.584750157,0.346402303,,,
,C10,1,3.110714286,0.1,0.584750157,0.811165303,,,
"Lee et al., 2012 (17)",RC-0,1,3.5,0.120029353,0.268816667,0.769248219,,,
"Lee et al., 2002 (18)",N-SP00-P1-R0,1,4,0.081028769,0.176161228,0.192125135,,,
,N-SP00-P2-R0,1,4,0.162203888,0.176161228,0.192125135,,,
,N-SP00-P3-R0,1,4,0.243305833,0.176161228,0.192125135,,,
"Lee et al., 2003 (20)",CH1-SPH-45-07,1,3.5,0.074408902,0.08923941,1.435617597,,,
,CH1-SPH-45-14,1,3.5,0.139749673,0.08923941,1.435617597,,,
,CH1-SPH-45-21,1,3.5,0.206240484,0.08923941,1.435617597,,,
,CH1-SP-45-07,1,3.5,0.074924437,0.08923941,0.644098873,,,
,CH1-SP-45-14,1,3.5,0.14104512,0.08923941,0.644098873,,,
,CH1-SP-45-21,1,3.5,0.207416961,0.08923941,0.644098873,,,
,CH1-SP-90-07,1,3.5,0.073377831,0.08923941,0.322049436,,,
,CH1-SP-90-14,1,3.5,0.142208379,0.08923941,0.322049436,,,
,CH1-SP-90-21,1,3.5,0.210655579,0.08923941,0.322049436,,,
"Lee et al., 2001 (21)",CH1-SPH-40-10,1,4.25,0.107111277,0.08823069,3.137889164,,,
,CH1-SPH-40-15,1,4.25,0.151038041,0.08823069,3.137889164,,,
,CH1-SPH-40-20,1,4.25,0.204195792,0.08823069,3.137889164,,,
,CH1-SP-40-10,1,4.25,0.105042262,0.08823069,1.783002613,,,
,CH1-SP-40-15,1,4.25,0.151992971,0.08823069,1.783002613,,,
,CH1-SP-40-20,1,4.25,0.203081707,0.08823069,1.783002613,,,
,CH1-SP-60-10,1,4.25,0.102973248,0.08823069,1.188668409,,,
,CH1-SP-60-15,1,4.25,0.153107055,0.08823069,1.188668409,,,
,CH1-SP-60-20,1,4.25,0.201171848,0.08823069,1.188668409,,,
"Lee et al., 2001 (22)",CN-SP-60-10,1,4.25,0.096,0.160714929,1.391156393,,,
,CN-SP-60-20,1,4.25,0.199,0.160714929,1.391156393,,,
,CN-SP-60-30,1,4.25,0.303,0.160714929,1.391156393,,,
,CN-SP-80-10,1,4.25,0.099,0.160714929,1.043367294,,,
,CN-SP-80-20,1,4.25,0.209,0.160714929,1.043367294,,,
,CN-SP-80-30,1,4.25,0.299,0.160714929,1.043367294,,,
,CN-SP-100-10,1,4.25,0.101,0.160714929,0.834693836,,,
,CN-SP-100-20,1,4.25,0.2,0.160714929,0.834693836,,,
,CN-SP-100-30,1,4.25,0.303,0.160714929,0.834693836,,,
,CNH-SP-60-20,1,4.25,0.203,0.395851743,1.391156393,,,
,CNH-SP-80-20,1,4.25,0.204,0.395851743,1.043367294,,,
,CNH-SP-100-20,1,4.25,0.204,0.395851743,0.834693836,,,
"Lee et al., 2002 (23)",CN-C0-80-10,1,4.25,0.099693687,0.160714929,1.043367294,,,
,CN-C0-80-20,1,4.25,0.204893711,0.160714929,1.043367294,,,
,CN-C0-80-30,1,4.25,0.302558747,0.160714929,1.043367294,,,
,CN-C1-80-10,1,4.25,0.109547133,0.160714929,1.043367294,,,
,CN-C1-80-20,1,4.25,0.212138892,0.160714929,1.043367294,,,
,CN-C1-80-30,1,4.25,0.305167012,0.160714929,1.043367294,,,
,CN-C2-80-10,1,4.25,0.097954843,0.160714929,1.043367294,,,
,CN-C2-80-20,1,4.25,0.197938338,0.160714929,1.043367294,,,
,CN-C2-80-30,1,4.25,0.301109711,0.160714929,1.043367294,,,
,CN-C3-80-10,1,4.25,0.09940388,0.160714929,1.043367294,,,
,CN-C3-80-20,1,4.25,0.201705832,0.160714929,1.043367294,,,
,CN-C3-80-30,1,4.25,0.301109711,0.160714929,1.043367294,,,
,CN-C4-80-20,1,4.25,0.209820434,0.160714929,1.043367294,,,
,CN-C5-80-20,1,4.25,0.201416024,0.160714929,1.043367294,,,
,CN-C6-80-20,1,4.25,0.202285446,0.160714929,1.043367294,,,
,CN-C7-80-20,1,4.25,0.201995639,0.160714929,1.043367294,,,
"Lee et al., 2004 (24)",CN-SP-NC-10,1,3.5,0.1,0.144830136,0.411033649,,,
,CN-SP-NC-20,1,3.5,0.2,0.144830136,0.411033649,,,
,CN-SP-NC-30,1,3.5,0.3,0.144830136,0.411033649,,,
"Chung et al., 2001 (25)",NS-LP1,1,3.764,0.083926059,0.209340435,0.296242289,,,
,NS-LP2,1,3.764,0.083926059,0.209340435,0.296242289,,,
"Chung et al., 2002 (26)",L-LP1,1,3.764,0.089505348,0.223257099,0.849807641,,,
,L-LP2,1,3.764,0.089505348,0.223257099,0.849807641,,,
"Chung et al., 1999 (31)",CS1P1L1,1,3.764,0.090620521,0.192150003,0.067987671,,,
,CS1P2L1,1,3.764,0.148578931,0.192150003,0.067987671,,,
,CS1P2L2,1,3.764,0.148578931,0.192150003,0.067987671,,,
,CS2P1L1,1,3.764,0.090620521,0.192150003,0.033993835,,,
,CS2P2L1,1,3.764,0.148578931,0.192150003,0.033993835,,,
,CS2P2L2,1,3.764,0.148578931,0.192150003,0.033993835,,,
"Hamilton et al., 2002",UCI5,1,2.578125,0,0.151780985,0.470500119,,,
"Yi et al., 2016",L-1,1,3.243243243,0.386876373,0.125363255,1.039191584,,,
Ko (2013),CSP1,1,4.5,0.07,0.3887089,1.514344727,,,
,CSP2,1,4.5,0.07,0.3887089,1.135758545,,,
,CSP3,1,4.5,0.07,0.30725745,1.135758545,,,
,CSP4,1,4.5,0,0.3887089,1.135758545,,,
,CSP5,1,4.5,0.15,0.3887089,1.135758545,,,
,CSP6,1,4.5,0.07,0.6092721,2.27151709,,,
